miner_cluster,country_based,Reference_based,country_operation,Reference_op,,Notes:
Pega Pool,Unknown,NA,,,,
Eobot,Unknown,NA,,,,
MiningKings,Unknown,NA,,,,
Titan,Unknown,NA,,,,
BTC M1,China other,NA,,,,
50BTC,Unknown,NA,,,,
BTCDig,Unknown,NA,USA,https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,
HAOZHUZHU,Unknown,NA,,,,
transactioncoinmining,Unknown,NA,,,,
Bitsolo,Unknown,NA,,,,
BitcoinRussia,Unknown,NA,,,,
HotPool,Unknown,NA,,,,
BTC M19,China other,NA,,,,
BCMonster,Unknown,NA,"USA, Europe, China",https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,
A-XBT,Unknown,NA,,,,
Zulu Pool,Unknown,NA,,,,
myBTCcoin Pool,Unknown,NA,,,,
UNOMP,Unknown,NA,,,,
NiceHash,Unknown,NA,,,,
Huobi,China other,https://medium.com/21st-century-economist/the-bitcoin-scaling-debate-1a6b466c53f,,,,
BTCMP,Germany,https://en.bitcoin.it/wiki/Btcmp,Germany,https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,
TBDice,Unknown,NA,,,,
BTC M2,China other,NA,,,,
Mining Dutch,Unknown,NA,,,,
BTC M3,China other,NA,,,,
Satoshi,Unknown,NA,,,,
Multipool,Unknown,NA,"USA, Europe",https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,
Mining Core,Unknown,NA,,,,
BTC M5,China other,NA,,,,
Patel's Mining pool,Unknown,NA,,,,
midnightmagic,Unknown,NA,,,,
Tricky's BTC Pool,Unknown,NA,,,,
Nexious,Unknown,NA,,,,
RigPool,Unknown,NA,,,,
EkanemBTC,Unknown,NA,,,,
7pool,Unknown,NA,,,,
BTC Pool Party,Unknown,NA,,,,
